Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-800.txt,"7198,1","805,191","7222,36","17,804","7199,18","121,262","7199,18","220,265","7198,1","449,271","7198,1","574,952","7231,16","118,998","7214,63","17,99","7238,88","20,667","7219,83","37,055","7481,04","6,012","7469,6","11,056","7460,66","21,383","7469,98","41,519","7538,98","81,789","7545,96","162,233","7689,08","322,178"
random10-800.txt,"11554,63","861,167","11570,58","24,102","11554,63","86,616","11554,63","593,888","11554,63","710,567","11554,63","821,078","11591,56","258,906","11585,01","20,496","11571,33","26,6","11575,66","38,156","12081,59","6,087","11867,18","11,13","11833,87","21,185","12032,79","41,355","11814,51","81,612","11909,64","161,855","11851,07","322,108"
random11-800.txt,"7203,55","1534,742","7227,81","17,578","7204,63","98,201","7204,63","244,398","7203,55","503,768","7203,55","667,668","7236,61","76,79","7220,0","17,652","7244,58","19,003","7225,28","51,9","7483,83","5,984","7492,92","11,136","7510,28","21,369","7489,28","41,54","7580,83","81,817","7668,13","161,95","7640,84","322,146"
random12-800.txt,"8901,38","42,084","8906,38","17,213","8901,38","40,446","8901,38","59,751","8901,38","116,455","8901,38","91,229","8937,78","49,653","8903,77","17,203","8938,12","15,316","8947,07","39,503","9247,15","5,949","9191,61","10,981","9233,66","21,333","9246,92","41,658","9334,76","81,752","9324,5","161,826","9290,7","322,32"
random13-800.txt,"6459,2","64,329","6469,98","15,79","6459,2","34,669","6459,2","56,547","6459,2","92,738","6459,2","108,617","6479,23","25,82","6511,03","34,535","6490,75","15,499","6484,86","28,472","6822,18","6,052","6892,94","11,058","6809,12","21,336","6764,85","41,389","6852,72","81,789","6932,61","161,771","6946,83","322,113"
random14-800.txt,"9080,54","1461,585","9103,87","20,468","9086,6","155,672","9080,54","767,751","9080,54","1667,933","9080,54","1321,256","9111,25","83,132","9102,98","63,335","9104,15","40,923","9108,66","62,868","9349,06","6,034","9367,53","11,143","9457,89","21,553","9464,05","41,677","9415,54","81,815","9477,89","162,143","9488,28","322,344"
random15-800.txt,"4786,42","95,987","4812,74","18,298","4786,42","37,99","4786,42","66,922","4786,42","109,844","4786,42","122,581","4809,63","16,833","4799,05","18,86","4802,7","16,704","4814,14","26,817","5131,26","6,027","5189,56","11,024","5131,57","21,231","5171,94","41,579","5216,0","81,757","5328,66","161,96","5317,4","322,497"
random16-800.txt,"5222,58","653,038","5227,78","17,754","5222,58","69,799","5222,58","205,197","5222,58","179,729","5222,58","731,271","5241,77","26,631","5251,62","30,971","5250,21","51,264","5245,92","43,153","5446,02","5,956","5490,22","11,155","5472,69","21,357","5560,07","41,619","5533,2","81,602","5479,88","161,886","5595,65","322,179"
random17-800.txt,"6476,15","352,047","6502,24","19,387","6480,29","57,606","6476,15","160,411","6476,15","574,942","6476,15","533,723","6514,12","21,612","6500,41","35,49","6498,49","18,495","6485,28","38,018","6747,06","5,954","6790,41","11,036","6842,4","21,257","6854,63","41,568","6838,22","81,674","6945,94","162,034","6922,81","322,32"
random1-800.txt,"13809,38","2559,96","13839,44","20,259","13809,38","76,055","13809,38","318,343","13809,38","870,174","13809,38","1314,904","13811,94","53,208","13842,46","136,272","13817,46","98,39","13845,41","36,862","14375,78","5,982","14393,95","11,181","14140,76","21,342","14120,89","41,56","14297,23","81,904","14254,87","161,899","14188,88","322,261"
random18-800.txt,"8993,08","86,189","9020,28","18,959","9000,38","44,62","8996,88","68,041","8994,15","92,551","8993,08","168,33","8998,39","21,683","8996,29","15,29","9002,3","19,364","8999,47","26,061","9384,15","6,092","9428,0","11,107","9393,49","21,496","9380,49","41,727","9382,36","81,888","9452,31","162,238","9335,47","322,583"
random19-800.txt,"5772,36","914,237","5779,82","17,485","5777,89","63,826","5776,27","353,25","5772,36","597,391","5772,36","723,179","5780,03","16,255","5784,14","39,017","5788,78","11,442","5787,4","28,787","6019,18","5,912","6159,51","11,047","6140,16","21,521","6150,72","41,752","6182,44","82,058","6076,08","162,521","6152,75","322,382"
random20-800.txt,"6754,08","372,081","6764,02","19,39","6755,64","57,169","6755,64","198,295","6754,41","178,075","6754,08","290,015","6763,39","88,284","6775,55","86,639","6795,74","81,713","6755,21","34,915","6993,62","5,976","7046,79","11,138","7010,86","21,313","7064,23","41,781","7087,28","81,959","7054,47","161,941","7244,51","322,58"
random21-800.txt,"9845,69","673,725","9887,05","17,615","9845,69","32,031","9845,69","64,166","9845,69","410,82","9845,69","1444,967","9863,23","20,491","9866,66","31,585","9860,08","51,618","9859,07","40,092","10329,67","5,937","10269,45","10,93","10300,16","21,157","10262,94","41,435","10225,01","81,849","10300,28","161,774","10432,69","322,152"
random22-800.txt,"9768,88","513,361","9776,07","18,34","9769,76","60,084","9769,76","138,377","9768,88","397,269","9768,88","580,085","9783,28","235,808","9769,76","63,589","9769,76","37,439","9783,68","34,683","10126,48","5,95","10149,27","11,091","10098,08","21,222","10089,19","41,37","10081,55","81,744","10122,62","161,836","10320,02","322,497"
