Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-400.txt,"922,78","1188,024","949,58","7,516","925,55","20,134","925,55","85,767","924,59","249,304","924,59","495,948","957,47","42,263","956,26","19,481","960,78","26,449","962,45","30,985","1466,54","6,05","1337,91","11,042","1362,68","21,053","1237,5","41,148","1264,24","81,497","1318,25","161,622","1367,63","322,125"
random10-400.txt,"869,43","3897,012","891,0","7,348","869,43","29,86","869,43","260,385","869,43","655,457","869,43","1386,913","965,97","56,377","960,21","17,352","918,1","39,189","932,46","43,006","1420,34","5,731","1278,25","10,984","1379,92","21,234","1341,67","41,666","1309,25","81,419","1234,98","161,547","1450,76","321,846"
random11-400.txt,"1071,3","237,677","1107,67","10,214","1083,89","25,699","1074,15","43,365","1071,3","82,395","1071,3","101,966","1102,81","16,514","1116,24","16,839","1130,41","24,212","1132,1","61,076","1895,14","5,794","1794,75","11,075","1886,79","21,411","1664,9","41,606","1663,09","81,648","1540,98","161,618","1696,07","321,886"
random12-400.txt,"1620,29","6898,872","1655,8","7,176","1623,91","25,657","1621,08","104,958","1620,29","584,071","1620,29","1091,64","1660,52","77,45","1704,59","14,738","1684,77","29,065","1665,35","60,053","2803,96","6,026","3235,47","11,099","2996,61","21,533","3168,33","41,671","2175,33","82,295","2113,0","162,727","2108,67","322,036"
random13-400.txt,"906,88","1958,848","953,33","9,266","911,46","43,06","908,17","118,789","906,88","219,831","906,88","1375,752","941,78","182,295","909,54","17,039","912,34","24,883","912,25","66,049","1627,33","5,765","1596,18","10,835","1577,91","21,24","1441,86","41,429","1425,21","81,284","1365,57","161,779","1316,09","322,039"
random1-400.txt,"868,27","195,631","896,24","6,953","868,4","19,041","868,4","37,707","868,27","58,959","868,27","75,748","930,38","23,237","922,26","53,179","926,13","26,046","907,69","59,479","1526,91","5,855","1493,39","11,042","1533,04","21,074","1447,3","41,375","1294,13","81,459","1482,95","161,615","1512,0","321,783"
random14-400.txt,"752,57","6496,041","815,97","5,483","765,83","40,203","758,66","149,496","752,57","207,029","752,57","357,0","792,31","22,887","780,66","14,99","763,89","26,844","773,73","41,403","1234,66","5,97","1173,16","10,789","1145,39","21,446","1204,65","41,353","1122,67","81,683","1298,28","161,97","1409,4","321,825"
random15-400.txt,"998,21","3384,805","1068,78","8,929","1008,71","57,858","1004,23","393,271","998,35","490,069","998,21","1812,22","1033,71","68,099","1036,73","30,175","1023,29","30,948","1033,57","54,202","1490,93","5,981","1531,47","10,882","1376,35","21,069","1466,03","41,235","1382,98","81,73","1384,98","161,673","1571,63","322,3"
random16-400.txt,"821,09","481,341","866,12","8,168","828,47","18,703","821,09","81,851","821,09","144,883","821,09","379,302","901,14","32,21","856,29","67,64","833,74","26,58","846,03","85,417","1425,98","5,798","1366,37","11,028","1262,96","21,015","1378,4","41,387","1235,77","81,713","1249,76","161,691","1307,91","321,784"
random17-400.txt,"1677,85","488,726","1719,09","9,31","1677,85","18,681","1677,85","34,347","1677,85","80,419","1677,85","218,098","1734,15","38,347","1681,98","63,024","1705,18","31,794","1687,01","53,266","2146,1","5,828","2125,92","10,909","2105,74","21,242","2066,68","41,774","2053,69","81,697","2166,51","162,135","2044,03","322,902"
random18-400.txt,"1409,3","3535,673","1470,02","9,931","1416,92","42,566","1429,3","171,4","1409,3","436,533","1409,3","887,041","1414,55","85,929","1452,92","35,072","1437,6","28,264","1446,73","82,731","2447,45","5,967","2130,42","10,971","2124,85","21,251","2009,88","41,441","1948,55","81,408","1859,94","161,515","1813,18","321,856"
random19-400.txt,"866,55","2500,246","962,39","9,76","866,67","21,925","866,67","142,433","866,67","593,389","866,67","753,49","876,31","26,259","930,0","30,057","908,78","27,398","909,87","59,236","1521,41","6,045","1410,48","10,889","1343,68","21,129","1279,79","41,631","1221,67","81,395","1294,63","161,694","1336,12","322,15"
random20-400.txt,"881,87","798,97","927,38","7,696","881,87","21,718","881,87","87,109","881,87","155,801","881,87","299,942","927,65","30,116","922,36","17,336","895,27","32,04","924,77","91,385","1461,37","6,02","1361,79","11,026","1279,87","21,05","1216,61","41,215","1268,55","81,498","1329,03","161,911","1434,09","321,778"
random21-400.txt,"910,78","2900,976","942,97","8,299","915,43","36,515","915,43","188,772","913,52","720,05","910,78","619,976","950,03","42,461","947,14","15,741","971,52","35,42","945,06","49,538","1430,67","5,952","1292,84","10,939","1336,99","21,165","1251,21","41,379","1334,32","81,605","1222,08","161,74","1442,34","321,854"
random22-400.txt,"970,75","313,729","1048,61","9,963","978,44","40,81","978,44","120,244","970,75","80,479","970,75","147,954","1058,02","73,737","1001,13","23,084","991,52","45,478","1000,77","55,991","1561,32","5,954","1536,36","11,018","1564,12","21,33","1457,76","41,238","1423,78","81,399","1545,28","161,545","1550,18","321,839"
random23-400.txt,"927,17","1178,99","960,16","10,713","930,45","56,848","927,17","141,924","927,17","161,806","927,17","359,508","957,35","15,181","966,74","21,977","956,07","25,326","942,77","43,194","1598,48","6,015","1640,36","10,984","1542,15","21,458","1454,51","41,293","1427,71","81,877","1444,58","161,658","1446,04","321,739"
random2-400.txt,"940,12","344,914","971,01","8,026","943,96","23,773","940,12","53,866","940,12","113,691","940,12","166,093","970,03","49,677","1011,36","20,134","981,63","30,649","955,09","42,626","1499,42","6,025","1414,65","11,138","1371,55","21,403","1398,72","41,624","1327,97","81,592","1283,42","161,864","1357,46","321,996"
random24-400.txt,"947,34","6895,573","1001,5","6,274","951,92","46,925","950,36","350,083","949,32","746,784","949,32","1622,991","967,76","54,7","977,71","35,276","1008,49","39,089","978,05","59,042","1410,8","5,811","1371,61","11,167","1307,69","21,091","1306,39","41,266","1283,09","81,639","1321,05","161,651","1449,57","322,18"
random25-400.txt,"1038,32","2934,898","1073,54","7,535","1048,14","52,312","1039,89","137,141","1038,67","411,114","1038,32","1133,908","1044,66","69,954","1044,66","52,223","1056,08","33,045","1079,02","106,382","1589,56","5,778","1511,58","10,949","1580,0","21,245","1458,41","41,477","1520,8","81,908","1436,18","161,688","1589,13","321,971"
random26-400.txt,"874,81","268,728","894,03","7,968","876,92","35,521","875,56","42,543","875,56","69,516","874,81","99,459","916,97","26,695","902,48","16,051","908,89","35,721","905,35","50,78","1396,62","5,851","1544,65","10,883","1475,94","21,23","1408,7","41,56","1275,55","81,689","1237,25","161,897","1388,1","321,811"
random27-400.txt,"1093,08","1077,101","1138,36","21,165","1097,21","37,779","1093,08","61,184","1093,08","175,306","1093,08","217,859","1176,98","92,51","1139,36","21,932","1173,72","36,434","1115,71","52,536","1819,92","5,745","1751,48","10,858","1707,81","21,217","1739,59","41,598","1598,71","81,655","1532,27","162,014","1597,15","321,952"
random28-400.txt,"907,19","1178,415","924,31","7,731","916,9","49,429","914,71","133,172","907,19","163,664","907,19","399,871","972,71","14,884","973,91","18,144","946,42","23,109","925,31","77,033","1404,2","5,813","1394,2","10,836","1438,62","21,396","1312,47","41,226","1304,19","81,513","1299,32","161,526","1445,03","321,883"
random29-400.txt,"807,4","24742,308","827,62","7,025","812,95","101,527","809,27","893,206","807,4","1824,873","807,4","9778,06","820,96","73,486","815,85","19,578","827,89","35,163","839,16","75,995","1276,88","5,828","1180,49","10,994","1211,51","21,066","1149,11","41,402","1213,77","81,366","1258,25","161,539","1316,29","321,998"
random30-400.txt,"1085,06","184,147","1156,52","11,816","1087,46","39,941","1085,06","40,153","1085,06","76,14","1085,06","81,807","1168,06","43,389","1161,23","21,502","1159,78","30,38","1135,39","54,873","1722,06","6,035","1683,78","10,986","1648,17","21,386","1730,73","41,468","1608,54","81,866","1516,18","161,793","1514,26","322,37"
random31-400.txt,"843,71","212,723","887,42","10,798","843,71","26,724","843,71","26,234","843,71","48,162","843,71","69,456","866,85","23,651","897,73","23,502","898,3","26,976","897,02","124,012","1538,68","5,88","1428,66","10,943","1257,41","21,13","1263,07","41,326","1268,89","81,395","1264,28","161,682","1361,48","321,933"
random32-400.txt,"995,26","1182,241","1058,53","17,104","1000,14","55,702","1000,14","177,09","995,26","331,609","995,32","665,684","1035,12","28,678","1027,5","33,296","1010,33","25,977","1016,43","37,613","1632,53","6,003","1678,22","10,856","1562,06","20,938","1499,47","41,33","1310,15","81,514","1403,38","162,052","1341,52","321,85"
random33-400.txt,"833,31","1540,406","870,54","17,151","840,9","39,003","838,78","264,238","833,31","507,45","833,31","416,851","855,6","24,772","869,75","21,414","852,89","49,366","860,84","67,744","1186,92","5,994","1205,81","11,022","1135,35","21,322","1130,1","41,867","1211,84","81,413","1333,3","161,96","1313,89","321,881"
random3-400.txt,"985,13","259,053","1003,92","9,034","970,28","18,617","967,82","66,865","965,13","100,3","965,13","106,502","976,68","34,112","992,22","39,488","1001,34","45,531","1013,63","37,908","1560,71","5,905","1503,03","10,951","1466,22","21,141","1333,26","41,287","1320,11","81,413","1318,59","161,577","1266,03","321,785"
random34-400.txt,"924,5","1576,207","976,43","11,248","928,45","28,596","924,98","115,427","924,5","352,377","924,5","606,935","974,23","23,041","984,56","56,137","980,68","34,629","981,28","77,974","1386,02","5,886","1338,5","10,95","1343,29","21,102","1264,48","41,291","1324,68","81,412","1319,71","161,951","1486,55","321,978"
random35-400.txt,"799,79","1070,059","832,47","6,457","803,09","17,993","799,79","77,141","799,79","291,88","799,79","499,425","829,91","184,434","821,26","44,792","832,71","43,999","810,4","75,048","1299,05","5,904","1277,37","11,109","1208,02","21,415","1247,77","41,388","1310,02","81,819","1181,76","161,59","1275,26","322,14"
