Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random25-800.txt,"1732,11","64434,512","1733,33","33,706","1732,11","1241,356","1732,11","17684,173","1732,11","33717,744","1732,11","379446,035","1754,0","870,092","1741,53","450,546","1747,07","162,208","1732,11","328,887","2808,89","6,946","2468,79","11,666","2535,52","22,273","2525,62","42,662","2295,32","83,074","2401,8","163,886","2273,85","323,645"
random26-800.txt,"1564,83","2457,154","1600,09","48,643","1564,83","173,026","1564,83","431,977","1564,83","1308,844","1564,83","1336,607","1598,31","153,134","1613,83","112,814","1609,81","54,173","1614,71","91,203","2747,04","6,599","2600,16","11,676","2706,52","22,084","2449,74","43,12","2542,68","82,819","2359,53","163,397","2180,4","323,995"
random27-800.txt,"1723,89","806,064","1795,71","45,076","1744,88","351,385","1730,62","333,145","1723,89","454,486","1723,89","1674,474","1786,77","85,867","1819,44","174,458","1817,35","91,889","1809,82","146,244","2653,18","6,74","2541,31","12,085","2636,36","22,967","2394,44","42,853","2403,71","83,188","2390,82","163,91","2301,55","324,213"
random2-800.txt,"1971,6","3573,642","2070,7","46,984","1991,38","311,553","1972,51","979,171","1971,6","6023,637","1971,6","7238,157","2051,03","1018,316","2025,24","205,561","2022,4","129,054","2055,56","153,435","3046,75","6,726","3118,85","11,776","2901,68","22,24","2810,72","42,788","2552,77","82,703","2551,75","163,395","2557,87","323,838"
random28-800.txt,"1403,59","6494,265","1456,1","49,409","1416,05","270,816","1403,59","1042,329","1403,59","2080,083","1403,59","2878,976","1434,71","219,074","1466,37","55,589","1422,65","62,703","1441,35","110,566","2573,19","7,01","2514,57","12,341","2481,51","22,802","2387,07","42,826","2253,97","83,529","2161,95","163,399","2037,17","323,335"
random29-800.txt,"1714,23","898,113","1764,02","61,198","1723,65","301,139","1719,79","602,184","1719,79","943,361","1719,79","1844,106","1735,56","328,746","1749,41","180,974","1800,55","150,668","1777,87","100,077","2792,09","6,917","2712,46","12,206","2596,02","22,004","2500,12","42,92","2541,74","83,791","2322,79","163,134","2280,67","323,548"
random30-800.txt,"1634,64","18503,684","1712,45","58,674","1645,47","1497,967","1634,64","10732,913","1634,71","9637,32","1634,64","21981,119","1665,44","1872,233","1663,65","438,128","1682,12","126,132","1663,68","182,948","3017,81","6,648","2690,07","11,847","2593,95","22,108","2493,51","42,713","2422,72","82,976","2357,71","164,749","2306,52","325,773"
random31-800.txt,"1272,66","18473,817","1301,91","30,008","1274,02","698,65","1272,66","1639,01","1272,66","6051,273","1272,66","11488,521","1295,88","802,322","1306,73","77,924","1310,45","120,711","1306,82","179,586","2131,92","6,808","2150,83","12,029","2010,19","22,317","1985,02","43,405","1940,69","83,834","1775,22","163,433","1784,06","323,683"
random32-800.txt,"2218,14","13065,153","2260,08","56,977","2223,81","693,065","2221,72","3078,263","2218,01","4301,489","2218,32","7293,971","2251,7","817,119","2235,84","167,996","2230,94","62,357","2242,76","93,859","3223,04","6,857","3314,36","12,375","3122,55","22,942","3060,09","43,002","2978,03","83,952","2871,41","164,796","2803,6","325,191"
random33-800.txt,"1735,33","11822,465","1799,61","49,12","1750,16","365,537","1743,07","3480,598","1735,33","3047,263","1735,33","9890,799","1764,59","1478,906","1763,16","148,038","1767,49","99,977","1760,47","152,019","2913,86","6,976","2895,32","12,248","2822,85","22,309","2790,35","42,644","2637,85","82,951","2484,0","163,358","2341,58","324,231"
