Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random24-400.txt,"5602,63","531,384","5613,81","4,249","5605,84","27,025","5602,63","43,889","5602,63","79,499","5602,63","110,647","5614,74","31,437","5618,32","12,233","5620,34","7,947","5616,46","17,766","5855,21","5,545","5918,92","10,648","5930,32","20,817","5996,19","40,936","5973,37","81,092","5998,78","161,292","6085,68","321,292"
random25-400.txt,"3394,48","222,554","3403,07","5,402","3396,25","11,844","3396,25","29,154","3394,48","67,97","3394,48","108,486","3411,69","8,685","3405,27","9,357","3414,4","14,445","3416,46","14,131","3764,8","5,491","3767,15","10,513","3722,39","20,752","3801,4","40,854","3713,64","80,885","3860,69","161,203","3964,6","321,151"
random26-400.txt,"2658,85","90,561","2670,7","4,403","2660,37","9,709","2658,85","20,689","2658,85","24,587","2658,85","46,752","2663,48","6,128","2663,16","7,114","2671,6","6,567","2679,48","9,808","2900,0","5,483","2982,06","10,604","2943,86","20,824","3055,4","40,891","3020,81","81,218","3102,84","161,292","3208,79","321,358"
random27-400.txt,"4305,88","59,917","4330,47","5,563","4309,61","11,211","4305,88","17,637","4305,88","21,661","4305,88","35,265","4313,26","8,057","4317,17","10,538","4316,47","6,395","4320,5","10,091","4592,3","5,564","4570,52","10,547","4641,27","20,659","4698,07","40,826","4657,73","81,04","4686,73","161,02","4656,09","321,315"
random28-400.txt,"3325,04","93,301","3340,13","4,596","3325,04","10,235","3325,04","33,312","3325,04","60,075","3325,04","58,336","3340,88","9,346","3333,58","6,362","3325,63","9,5","3326,5","18,908","3623,59","5,541","3584,42","10,596","3542,22","20,761","3605,08","40,994","3685,84","81,159","3626,3","161,32","3752,63","321,511"
random29-400.txt,"2154,72","658,252","2170,67","4,635","2162,92","23,632","2154,72","366,483","2154,72","266,274","2154,72","741,301","2164,69","46,915","2160,83","14,844","2168,77","16,203","2168,77","14,41","2474,14","5,564","2504,24","10,573","2523,96","20,809","2548,38","40,948","2581,5","81,108","2642,56","161,325","2733,91","321,293"
random30-400.txt,"8059,0","12,607","8098,37","6,954","8062,36","13,129","8061,22","17,086","8059,0","21,851","8059,0","28,074","8080,45","8,947","8059,0","6,965","8071,62","8,018","8069,47","12,691","8681,96","5,518","8598,91","10,567","8302,43","20,769","8322,82","40,881","8366,49","80,945","8414,08","161,211","8355,23","321,37"
random31-400.txt,"3255,19","151,793","3267,17","4,743","3262,9","12,549","3255,19","34,224","3255,19","31,007","3255,19","57,702","3272,74","8,932","3284,39","12,278","3269,8","8,239","3266,35","15,144","3629,47","5,549","3610,47","10,63","3696,51","20,842","3696,85","40,813","3634,99","81,126","3758,65","161,17","3739,82","321,181"
random32-400.txt,"7988,65","81,989","7999,35","4,468","7991,31","12,438","7991,31","34,87","7988,65","111,583","7988,65","106,75","8008,23","7,747","8012,9","9,194","8016,55","9,496","8019,27","15,716","8309,54","5,591","8585,63","10,65","8515,12","20,791","8297,69","40,875","8386,52","81,015","8343,64","161,122","8322,9","321,341"
random33-400.txt,"3007,64","322,23","3014,63","4,296","3007,64","18,065","3007,64","34,074","3007,64","73,688","3007,64","160,492","3013,54","6,698","3017,76","10,396","3016,42","10,075","3021,85","24,042","3365,6","5,777","3348,16","10,777","3328,67","20,961","3443,52","41,097","3346,56","81,374","3372,52","161,626","3565,57","321,847"
