Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random24-200.txt,"1858,83","168,563","1896,71","1,742","1865,39","8,891","1862,77","14,162","1861,87","23,586","1859,97","32,783","1868,8","6,293","1866,68","5,462","1866,55","8,548","1869,53","15,733","2038,95","5,296","2035,91","10,394","2080,43","20,45","2108,11","40,549","2130,77","80,586","2079,13","160,677","2165,23","320,782"
random25-200.txt,"1602,19","86,342","1607,0","0,995","1606,69","10,724","1606,69","22,0","1602,19","12,025","1602,19","49,85","1615,7","5,141","1611,32","7,941","1609,25","6,664","1618,86","13,032","1903,96","5,32","1814,41","10,404","1908,7","20,466","1870,52","40,59","1932,82","80,612","1890,82","160,74","2039,88","320,84"
random26-200.txt,"2560,34","28,76","2585,7","1,578","2571,56","4,157","2568,72","8,939","2568,65","19,332","2567,36","21,798","2566,11","3,184","2583,29","4,635","2583,17","5,342","2580,44","8,443","2756,92","5,298","2886,81","10,35","2833,54","20,469","2873,43","40,486","2919,21","80,544","2981,21","160,625","3069,11","320,661"
random27-200.txt,"1921,66","67,843","1932,18","1,266","1923,38","3,372","1923,38","7,982","1923,38","21,275","1923,38","14,623","1936,78","3,802","1941,3","3,606","1955,83","3,744","1924,91","10,558","2117,78","5,32","2225,69","10,34","2126,38","20,506","2174,15","40,512","2319,76","80,725","2246,65","160,662","2292,23","320,838"
random28-200.txt,"902,42","143,493","904,71","0,881","903,07","3,601","902,81","9,049","902,42","25,098","902,42","28,847","932,86","5,356","916,25","5,833","906,44","7,0","908,36","16,334","1166,83","5,273","1178,89","10,318","1213,31","20,484","1271,1","40,579","1209,44","80,713","1277,26","160,74","1336,53","320,767"
random29-200.txt,"6054,13","76,429","6071,32","1,134","6054,13","3,188","6054,13","5,689","6054,13","13,728","6054,13","19,51","6102,7","9,511","6073,18","5,233","6075,2","5,174","6071,08","7,864","6276,96","5,322","6368,63","10,344","6404,89","20,467","6342,37","40,522","6353,42","80,626","6418,41","160,674","6551,54","320,79"
random30-200.txt,"10314,34","96,429","10317,74","0,85","10316,29","2,724","10316,29","5,507","10316,29","21,027","10314,34","27,063","10320,65","3,237","10330,54","5,283","10328,1","4,048","10330,14","17,399","10512,05","5,326","10541,79","10,419","10592,38","20,425","10576,73","40,498","10651,87","80,664","10685,07","160,667","10790,67","320,73"
random31-200.txt,"1762,27","183,462","1775,37","1,075","1768,9","4,153","1763,22","12,763","1763,22","36,735","1762,27","60,799","1774,93","2,878","1780,15","6,291","1777,57","4,573","1776,74","23,749","1993,54","5,307","2005,46","10,393","2038,13","20,441","2018,19","40,482","2070,94","80,58","2122,01","160,71","2155,62","320,79"
random3-200.txt,"1118,66","176,141","1157,82","1,107","1122,11","3,472","1118,66","6,191","1118,66","15,328","1118,66","39,887","1156,25","14,737","1140,67","8,484","1123,68","6,957","1131,15","21,922","1437,76","5,311","1354,24","10,378","1438,59","20,507","1422,09","40,612","1363,13","80,626","1422,13","160,752","1486,01","320,794"
random32-200.txt,"1268,54","60,493","1293,81","1,215","1274,81","2,975","1268,54","4,881","1268,54","8,911","1268,54","15,937","1276,85","4,605","1286,02","4,372","1287,99","6,469","1276,19","5,145","1601,34","5,298","1499,04","10,331","1614,82","20,509","1627,77","40,526","1643,93","80,596","1660,93","160,747","1711,35","320,838"
