Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random26-200.txt,"710,65","186,757","747,3","11,729","716,16","23,463","710,65","26,649","710,65","30,754","710,65","48,735","791,01","14,877","728,76","16,22","765,0","17,642","738,24","20,129","953,89","5,43","923,87","10,433","930,4","20,55","1022,73","40,56","1060,4","80,736","1104,38","160,979","1132,32","320,975"
random27-200.txt,"567,58","183,364","629,97","2,502","570,28","9,993","567,58","20,934","567,58","26,69","567,58","52,828","596,57","7,084","582,23","7,279","598,88","19,408","603,15","25,037","852,51","5,46","802,45","10,452","896,43","20,65","771,9","40,587","925,46","80,712","1013,17","160,835","1094,37","320,877"
random28-200.txt,"425,05","475,742","436,26","1,231","432,57","15,394","430,18","33,715","426,16","52,79","426,16","81,129","446,32","45,014","466,33","9,314","456,86","16,081","444,85","59,476","660,83","5,516","719,76","10,458","685,42","20,587","717,5","40,715","722,54","80,922","916,72","161,121","939,5","321,073"
random29-200.txt,"1355,87","117,703","1375,44","5,682","1355,87","8,113","1355,87","8,665","1355,87","17,761","1355,87","19,584","1381,39","7,191","1398,34","8,42","1384,91","12,749","1360,47","26,831","1626,05","5,556","1670,88","10,431","1592,73","20,595","1530,53","40,715","1601,55","80,715","1708,64","160,932","1810,49","321,101"
random30-200.txt,"647,46","295,228","660,88","1,497","647,46","6,553","647,46","21,16","647,46","29,729","647,46","45,426","682,01","8,821","665,09","10,836","659,64","29,776","668,23","51,918","984,42","5,473","1033,29","10,411","945,24","20,601","841,28","40,692","1095,64","80,712","1094,66","161,049","1164,59","321,099"
random31-200.txt,"584,72","307,376","616,7","1,614","597,23","5,109","591,17","8,775","585,5","11,06","584,72","30,1","642,85","12,941","617,91","10,222","600,28","34,603","599,92","130,733","882,67","5,549","889,01","10,516","976,68","20,606","814,23","40,746","863,56","80,746","972,9","161,032","981,83","321,01"
random3-200.txt,"516,24","264,089","562,29","1,408","528,79","6,443","516,24","8,553","516,24","26,333","516,24","27,701","551,75","10,506","531,4","9,176","528,44","24,321","518,75","60,417","827,94","5,46","825,78","10,513","727,08","20,466","870,75","40,755","888,5","80,851","903,93","160,79","1194,07","321,095"
random32-200.txt,"532,62","393,86","576,17","2,354","542,28","8,685","535,85","23,432","532,62","42,822","532,62","64,658","539,98","10,54","544,3","11,387","566,93","28,968","559,32","27,315","823,2","5,493","772,61","10,444","773,16","20,506","785,6","40,707","862,21","81,053","892,99","160,988","940,03","321,043"
random33-200.txt,"583,91","105,239","624,04","1,437","596,74","6,221","583,91","8,84","583,91","12,042","583,91","19,647","610,64","7,776","614,6","10,105","602,69","15,983","623,27","21,883","818,16","5,457","896,77","10,422","806,56","20,556","885,01","40,71","845,85","80,852","1100,63","161,018","1048,64","321,143"
random34-200.txt,"493,74","624,843","541,72","1,622","518,29","13,185","495,95","21,16","495,95","30,224","493,74","119,606","525,01","10,994","517,45","12,083","502,95","20,791","535,77","54,225","738,44","5,498","821,53","10,444","701,05","20,508","765,69","40,717","782,09","80,783","1019,21","160,828","882,97","321,342"
random35-200.txt,"778,39","128,614","829,32","2,111","786,24","6,684","785,99","20,615","784,67","34,19","781,04","37,509","780,87","7,545","794,42","9,62","790,49","10,895","788,08","25,241","1061,51","5,469","1135,15","10,516","1077,3","20,578","997,72","40,771","1155,42","80,748","1243,53","161,019","1246,88","321,022"
random36-200.txt,"733,33","169,217","762,68","2,064","735,91","5,757","733,4","10,117","733,33","34,033","733,33","47,159","773,94","6,243","788,72","7,156","753,78","19,883","741,75","22,625","1029,42","5,41","940,24","10,474","957,62","20,543","947,22","40,625","1090,65","80,669","1067,1","160,848","1275,53","320,896"
random37-200.txt,"523,48","334,368","563,91","1,819","525,29","5,406","525,29","8,507","523,48","29,186","523,48","50,31","562,41","14,047","554,8","6,061","565,23","15,981","553,89","20,053","862,71","5,467","912,61","10,45","763,87","20,671","851,99","40,698","824,74","80,861","990,34","161,033","1056,94","321,029"
random38-200.txt,"498,43","160,491","518,01","1,878","498,64","8,155","498,64","8,068","498,43","18,258","498,43","40,35","528,95","7,309","512,32","9,818","544,77","24,159","537,03","65,195","685,28","5,524","823,25","10,509","696,09","20,663","724,23","40,588","869,3","80,844","979,37","161,01","1004,63","321,224"
random39-200.txt,"537,67","284,212","556,58","1,797","540,72","4,779","540,72","9,506","540,72","26,374","537,67","62,875","581,96","7,442","565,31","12,033","569,13","15,1","565,35","47,04","752,08","5,473","769,19","10,443","717,41","20,583","810,72","40,651","953,25","80,703","901,9","160,898","1069,44","320,915"
random4-200.txt,"500,44","5139,762","511,72","1,189","506,87","2,693","503,04","37,195","503,04","59,877","517,07","78,341","509,49","8,034","511,0","19,142","524,68","31,571","505,44","47,214","693,82","5,396","804,81","10,545","675,02","20,602","797,18","40,745","903,97","80,889","823,74","160,895","901,98","321,236"
random5-200.txt,"442,52","1080,845","467,29","1,354","447,1","9,346","446,45","26,074","446,45","77,247","446,45","81,667","467,96","21,147","473,0","13,056","459,63","20,68","478,6","25,466","771,45","5,539","695,41","10,534","625,42","20,616","630,84","40,762","841,88","80,679","849,89","161,004","846,73","321,238"
random6-200.txt,"432,23","152,616","451,7","1,429","432,23","3,679","432,23","6,808","432,23","19,056","432,23","26,983","464,65","8,741","440,36","5,948","439,3","31,91","439,3","61,922","671,94","5,438","668,76","10,523","743,8","20,602","693,85","40,541","892,26","80,724","835,24","160,842","838,86","320,95"
random7-200.txt,"465,4","394,983","469,48","1,178","469,48","5,83","467,08","19,478","467,08","29,839","465,4","50,984","491,25","22,039","488,84","7,423","485,81","29,163","481,64","25,028","704,19","5,415","652,78","10,391","795,04","20,546","727,86","40,746","841,33","80,704","893,72","161,068","968,82","321,137"
random8-200.txt,"469,33","216,643","504,38","1,595","473,47","4,913","469,33","8,574","469,33","32,647","469,33","41,971","503,8","8,998","493,55","9,165","484,4","27,778","485,18","31,445","916,84","5,451","872,54","10,548","823,45","20,556","886,3","40,677","794,52","80,867","1007,16","160,81","1028,09","320,856"
random9-200.txt,"388,4","175,824","418,85","0,979","398,54","3,156","388,91","5,468","388,91","10,684","388,46","33,323","408,16","6,686","407,02","9,768","409,87","18,959","403,54","66,716","588,05","5,456","697,66","10,49","648,01","20,61","736,32","40,648","857,16","80,844","853,49","160,938","880,22","321,04"
