Lista,LP, ,Greedy, ,Greedy M2, ,Greedy M3, ,Greedy M4, ,Greedy M5, ,DTC 05, ,DTC 10, ,DTC 20, ,DTC 40, ,AG 5, ,AG 10, ,AG 20, ,AG 40, ,AG 80, ,AG 160, ,AG 320, 
 ,Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s),Preço (R$),Tempo (s)
random0-100.txt,"353,98","136,834","372,71","0,464","358,73","2,165","356,68","4,069","356,68","15,553","355,21","21,082","388,12","5,293","392,35","4,788","365,54","14,961","367,84","17,733","485,36","5,255","503,68","10,208","637,51","20,288","668,08","40,358","710,6","80,415","716,04","160,503","841,4","320,538"
random10-100.txt,"304,01","56,654","315,79","0,451","304,61","1,808","304,61","2,083","304,61","10,89","304,01","6,511","338,03","3,111","325,6","5,773","318,4","6,841","311,05","16,003","547,18","5,245","510,93","10,267","506,14","20,273","506,7","40,353","705,78","80,433","792,55","160,535","802,91","320,535"
random1-100.txt,"223,4","226,062","229,33","0,331","229,33","1,213","223,4","2,648","223,4","2,673","223,4","13,742","225,76","4,23","226,92","8,925","234,09","22,063","236,87","60,804","434,71","5,246","489,56","10,218","477,59","20,302","473,18","40,362","525,06","80,396","633,7","160,604","732,34","320,543"
random11-100.txt,"235,47","183,691","257,76","0,248","241,9","0,739","238,54","2,149","238,54","4,422","238,54","13,095","254,53","3,546","259,88","4,265","245,06","14,149","248,83","51,933","423,29","5,207","424,24","10,28","382,53","20,305","514,78","40,359","603,7","80,454","579,05","160,573","630,8","320,714"
random12-100.txt,"316,76","90,555","316,76","0,311","316,76","0,861","316,76","1,401","316,76","2,833","316,76","5,473","334,5","3,212","351,35","5,368","338,18","16,954","346,89","26,759","527,19","5,247","555,18","10,222","503,4","20,276","682,42","40,401","681,15","80,467","732,18","160,497","905,62","320,603"
random13-100.txt,"223,67","181,175","252,91","0,266","233,55","1,339","233,53","2,888","233,53","10,906","231,96","14,445","239,49","4,485","231,97","7,035","233,83","23,004","247,11","36,568","395,68","5,28","443,67","10,261","544,92","20,264","406,16","40,366","577,18","80,557","610,1","160,65","701,0","320,637"
random14-100.txt,"269,92","53,741","317,9","0,47","295,91","1,186","279,51","1,959","269,92","2,807","269,92","4,602","283,86","3,38","286,51","4,883","283,73","13,966","283,73","17,075","413,18","5,221","478,25","10,255","424,02","20,374","589,63","40,482","623,34","80,557","536,07","160,6","659,67","320,685"
random15-100.txt,"309,01","115,834","328,71","0,443","321,72","1,432","309,01","2,584","309,01","3,921","309,01","10,534","323,53","5,01","313,24","6,717","309,01","13,416","309,01","19,481","462,92","5,287","516,04","10,244","568,48","20,316","618,03","40,33","677,81","80,461","642,32","160,468","849,16","320,552"
random16-100.txt,"240,57","711,978","252,68","0,305","244,15","1,395","244,15","4,637","244,15","21,679","243,11","14,999","244,08","7,18","256,8","6,462","254,33","17,521","256,18","44,285","412,03","5,264","464,17","10,297","473,28","20,267","508,79","40,396","489,26","80,431","503,71","160,526","575,16","320,488"
random17-100.txt,"330,9","38,602","363,61","0,725","330,9","1,784","330,9","2,903","330,9","3,432","330,9","5,049","354,71","2,759","351,98","4,431","351,88","7,79","346,2","53,054","556,85","5,267","483,62","10,222","646,92","20,284","572,96","40,424","545,35","80,536","682,96","160,52","764,57","320,51"
random18-100.txt,"323,23","42,643","359,47","0,449","343,79","1,598","328,78","4,992","323,23","4,942","323,23","12,038","351,88","2,677","346,87","5,512","339,63","8,857","344,39","34,21","528,94","5,209","539,87","10,244","544,12","20,299","702,27","40,377","725,96","80,455","701,81","160,519","694,83","320,548"
random19-100.txt,"313,85","65,629","341,48","0,445","326,07","1,633","326,07","5,982","324,39","7,535","316,15","6,787","320,85","2,425","323,97","3,722","352,14","23,932","322,76","16,63","534,64","5,248","572,25","10,233","662,28","20,316","682,52","40,396","716,35","80,399","766,54","160,559","756,37","320,598"
random20-100.txt,"338,58","154,81","349,53","0,375","338,58","1,457","338,58","3,142","338,58","7,826","338,58","13,385","360,89","2,386","350,49","4,607","348,59","14,924","354,52","18,054","477,78","5,221","578,74","10,199","563,4","20,257","614,77","40,361","551,19","80,512","604,93","160,558","837,95","320,506"
random2-100.txt,"513,08","51,216","522,08","0,642","513,62","1,617","513,62","2,448","513,62","3,193","513,62","3,867","516,28","2,962","527,82","5,454","529,22","13,708","514,58","13,722","841,82","5,208","786,78","10,302","766,53","20,271","837,74","40,4","700,8","80,453","847,58","160,461","943,09","320,691"
random21-100.txt,"291,7","94,982","337,53","0,378","299,75","0,926","299,75","3,182","296,87","9,236","296,87","18,469","327,51","3,188","327,73","7,448","308,74","20,055","318,55","38,138","444,84","5,225","473,61","10,235","550,3","20,274","514,26","40,428","682,62","80,48","782,92","160,523","739,8","320,493"
random22-100.txt,"342,16","67,765","360,34","0,399","342,16","1,031","342,16","1,57","342,16","2,165","342,16","2,95","372,97","2,445","352,58","4,819","351,88","13,868","351,88","39,727","547,39","5,262","545,51","10,255","617,89","20,308","632,71","40,323","727,4","80,506","679,79","160,488","711,67","320,521"
random23-100.txt,"366,67","14,24","441,68","0,911","380,22","2,396","366,67","3,101","366,67","3,952","366,67","5,051","395,85","3,34","385,57","3,687","377,43","11,521","374,93","10,749","674,99","5,282","680,4","10,286","651,81","20,357","607,83","40,39","690,77","80,483","774,44","160,54","646,41","320,547"
random24-100.txt,"235,77","143,029","252,47","0,418","235,77","0,979","235,77","1,883","235,77","2,72","235,77","3,666","268,46","3,504","286,28","8,819","247,73","14,025","258,83","34,292","485,81","5,247","521,12","10,225","538,53","20,298","529,29","40,393","563,87","80,381","692,13","160,458","703,63","320,493"
random25-100.txt,"290,34","25,361","318,88","0,478","290,34","1,033","290,34","1,789","290,34","2,608","290,34","3,305","320,05","3,74","325,86","5,108","311,97","22,863","306,27","15,01","434,23","5,268","479,65","10,267","518,2","20,339","614,43","40,339","656,69","80,434","683,83","160,552","869,49","320,661"
random26-100.txt,"291,01","76,35","324,31","0,459","292,06","1,171","291,36","3,343","291,36","4,529","291,36","11,233","315,34","3,982","305,0","5,864","299,4","15,637","294,88","33,267","402,55","5,242","465,2","10,23","578,31","20,273","546,61","40,408","531,46","80,53","539,78","160,587","607,37","320,784"
random27-100.txt,"368,61","78,009","380,95","0,395","369,91","0,933","369,91","1,832","369,91","5,299","368,61","4,083","373,75","3,695","371,35","5,698","371,35","20,957","369,91","11,154","496,76","5,215","474,97","10,221","567,42","20,284","594,46","40,379","634,05","80,548","706,91","160,594","762,31","320,508"
random28-100.txt,"346,0","67,71","375,52","0,623","346,63","1,504","346,63","2,169","346,0","3,028","346,0","3,471","357,42","3,018","355,89","2,875","355,89","5,588","351,76","5,232","619,02","5,264","630,59","10,215","577,79","20,318","588,85","40,357","671,32","80,433","675,6","160,647","802,83","320,652"
